OpenTime,Open,High,Low,Close,Volume,CloseTime
1609459200000,28923.63,29031.34,28690.17,28995.13,2311.811445,1609462799999
1609462800000,28995.13,29470.00,28960.35,29409.99,5403.068471,1609466399999
1609466400000,29410.00,29465.26,29120.03,29194.65,2384.231560,1609469999999
1609470000000,29195.25,29367.00,29150.02,29278.40,1461.345077,1609473599999
1609473600000,29278.41,29395.00,29029.40,29220.31,2038.046803,1609477199999
1609477200000,29220.31,29253.75,28910.19,29128.54,1988.107692,1609480799999
1609480800000,29128.54,29300.00,29050.00,29264.39,1651.718864,1609484399999
1609484400000,29264.39,29500.00,29159.98,29448.40,2484.267445,1609487999999
1609488000000,29448.40,29560.00,29330.00,29493.12,1826.026353,1609491599999
1609491600000,29493.12,29550.00,29290.00,29419.02,1884.285325,1609495199999
